tx_price,beds,baths,sqft,lot_size,beauty_spas,college_grad,insurance,age_of_property,year_flag
295850,1,1,584,0,47,84,81,0,0
216500,1,1,612,0,26,69,51,41,0
279900,1,1,615,0,74,86,74,49,0
379900,1,1,618,33541,72,91,92,5,0
340000,1,1,634,0,50,75,30,10,0
265000,1,1,641,0,60,86,58,57,0
240000,1,1,642,0,66,88,61,67,0
388100,1,1,650,33541,72,91,92,5,0
240000,1,1,660,0,32,77,65,30,0
250000,1,1,664,0,70,83,51,42,1
335000,1,1,669,0,37,88,86,9,0
376750,1,1,673,46609,74,82,90,1,0
210000,1,1,680,0,10,63,44,43,0
289900,1,1,685,48787,75,86,68,45,0
535000,1,1,687,0,126,72,146,6,0
218000,1,1,689,0,83,92,57,21,0
400000,1,1,689,0,72,82,96,8,0
226000,1,1,690,0,30,83,67,11,1
363700,1,1,692,0,72,75,104,0,1
215000,1,1,698,0,19,47,42,42,0
327000,1,1,698,9686,49,94,88,5,0
331100,1,1,700,9686,49,94,87,7,0
240000,1,1,703,0,52,36,42,13,0
320000,1,1,704,0,47,99,79,2,1
290800,1,1,704,0,46,99,78,0,0
375000,1,1,705,0,63,99,85,20,0
377000,1,1,709,111513,91,96,109,3,1
262500,1,1,711,0,35,77,69,70,0
216250,1,1,712,0,43,90,64,60,0
270000,1,1,722,0,30,85,66,20,0
235000,1,1,723,0,47,99,85,4,0
225000,1,1,724,0,69,83,41,51,0
370000,1,1,725,0,72,91,106,5,0
232000,1,1,736,0,14,83,74,10,1
281900,1,1,737,0,38,50,69,5,0
355000,1,1,740,0,73,91,103,6,0
350000,1,1,741,0,72,91,101,3,0
231900,1,1,750,0,81,70,41,41,0
284000,1,1,755,0,31,77,78,16,0
255000,1,1,759,0,73,81,66,53,0
285850,1,1,759,0,46,99,81,0,0
249298,1,1,759,0,17,35,76,0,0
380000,1,1,760,0,81,84,101,20,0
244800,1,1,767,0,39,90,66,67,0
397400,1,1,771,111513,91,96,119,0,0
345000,1,1,781,0,37,72,98,1,1
220000,1,1,792,0,37,82,67,22,0
279000,1,1,796,0,96,63,87,28,0
286900,1,1,797,0,36,70,56,1,0
220000,1,1,800,0,5,81,56,30,0
305000,1,1,805,0,33,80,49,64,0
409575,1,1,805,46609,74,82,104,1,0
300367,1,1,805,0,48,63,79,0,1
230000,1,1,809,0,36,90,60,42,1
270000,1,1,810,0,45,54,58,30,0
210000,1,1,811,0,36,34,49,42,0
366700,1,1,817,0,65,88,83,2,0
238600,1,1,834,0,33,66,61,21,0
284900,1,1,838,0,48,63,76,1,1
253000,1,1,850,0,70,72,48,31,0
305000,1,1,850,0,50,66,61,22,0
280000,1,1,850,0,52,66,55,19,0
411000,1,1,855,0,43,90,103,1,1
270900,1,1,856,0,33,72,58,0,0
406250,1,1,859,0,73,91,109,6,0
365000,1,1,866,0,62,85,96,26,0
440000,1,1,879,0,72,82,127,1,0
250000,1,1,880,0,34,57,43,40,0
350100,1,1,900,18730,20,47,89,59,0
250000,1,1,900,0,70,83,68,46,0
305000,1,1,902,0,113,72,78,27,0
200000,1,1,914,0,49,53,54,25,1
371500,1,1,917,0,48,63,97,6,0
270000,1,1,920,0,21,72,51,27,0
318000,1,1,926,0,49,49,79,35,1
408400,1,1,933,0,47,99,94,0,0
325000,1,1,934,0,59,63,54,12,0
239000,1,1,945,0,9,59,56,23,1
367500,1,1,950,0,61,79,119,20,0
378000,1,1,961,0,37,72,97,7,0
269000,1,1,966,0,60,63,73,10,0
245000,1,1,999,0,47,57,49,28,1
225000,1,1,1005,0,49,66,56,32,0
302000,1,1,1014,0,30,85,86,26,0
387900,1,1,1050,0,47,99,94,0,0
560000,1,1,1092,0,63,90,169,23,1
750000,1,1,1322,0,122,72,231,3,0
299700,1,2,814,96703,53,71,93,4,0
779900,1,2,1207,0,62,75,212,2,0
379000,1,2,1489,0,24,83,89,67,1
225000,2,1,768,0,10,73,58,56,0
230000,2,1,793,0,10,73,59,54,0
328000,2,1,800,0,44,87,76,55,0
407800,2,1,803,33541,72,91,107,5,0
470630,2,1,814,9686,49,94,108,1,0
270000,2,1,816,3846,21,46,103,66,0
359500,2,1,835,0,32,93,93,55,0
355000,2,1,836,0,40,90,92,18,0
283000,2,1,845,0,65,74,63,64,0
378000,2,1,864,1296,35,32,106,73,0
306000,2,1,875,0,33,77,79,62,0
292999,2,1,875,1220551,42,87,79,64,0
369900,2,1,891,0,65,88,89,2,0
326000,2,1,893,0,60,88,92,8,0
350000,2,1,900,0,37,80,79,64,0
350000,2,1,900,0,37,80,79,64,0
396875,2,1,912,48787,75,86,87,45,0
374900,2,1,912,0,33,77,92,22,0
232150,2,1,920,0,44,80,80,62,0
327000,2,1,924,0,37,66,81,47,1
455900,2,1,928,0,47,84,119,0,0
290000,2,1,930,0,32,77,84,23,0
301000,2,1,930,1135,45,59,62,19,0
275000,2,1,930,1059,4,63,71,16,0
531000,2,1,931,0,93,96,143,5,0
405000,2,1,945,14374,22,73,139,57,0
336000,2,1,950,0,31,89,91,73,0
214000,2,1,952,0,102,67,61,46,0
327500,2,1,958,0,44,89,77,69,0
251489,2,1,959,4918,0,36,49,80,0
238900,2,1,960,0,97,73,59,50,0
297000,2,1,960,0,73,82,91,43,1
235000,2,1,960,800,44,45,62,29,0
210000,2,1,960,1820,4,63,66,23,0
215000,2,1,966,0,39,81,51,52,0
285000,2,1,966,0,60,63,78,19,0
239900,2,1,976,1120,51,31,61,35,0
375500,2,1,983,0,63,90,103,29,0
415000,2,1,993,0,63,90,116,22,0
400000,2,1,1008,1995,7,85,77,19,0
420000,2,1,1010,0,32,93,98,51,0
292000,2,1,1011,0,39,81,51,47,0
200000,2,1,1015,1615,173,55,117,73,0
226000,2,1,1021,0,36,66,69,49,0
220000,2,1,1024,0,32,28,75,1,0
280000,2,1,1032,0,68,83,72,51,0
299900,2,1,1032,0,29,55,47,42,0
204000,2,1,1044,0,36,66,69,54,0
350000,2,1,1062,0,28,87,92,24,1
228000,2,1,1070,0,13,77,56,42,0
300000,2,1,1073,0,11,67,54,33,0
280000,2,1,1083,0,49,42,66,49,0
305500,2,1,1100,0,84,81,105,48,1
348500,2,1,1103,0,41,90,87,65,0
210000,2,1,1177,0,45,54,67,26,0
250000,2,1,1179,0,46,36,49,42,0
229000,2,1,1185,15681,0,36,56,49,0
300000,2,1,1188,3001,23,36,84,55,0
220000,2,1,1194,0,47,57,57,35,0
275000,2,1,1197,1306,11,22,70,41,0
312000,2,1,1200,0,10,73,89,62,0
231525,2,1,1242,0,22,63,68,28,0
239900,2,1,1250,0,11,80,66,24,1
